得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,,,,,,メンバー交代:,IN:18,金田,OUT:12,居村
0,0,0,Tie,,,,,,サーブ,14,宮下(遥),,
0,0,0,Tie,レシーブ成功(優),16,小島,,,,,,,
0,0,0,Tie,アタック成功:,5,曽我,,,,,,,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブ,13,山田,,,,,,,
1,0,1,Lead,,,,,,レシーブ成功(優),4,吉岡,,
1,0,1,Lead,,,,,,アタック成功:,28,川島,,
1,1,0,Tie,,,,,,,得点,,,
1,1,0,Tie,,,,,,サーブ,18,金田,,
1,1,0,Tie,レシーブ成功(優),2,古賀,,,,,,,
1,1,0,Tie,,5,曽我,,,,,,,
1,1,0,Tie,,,,,,アタック成功:,4,吉岡,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブ,18,金田,,
1,2,-1,Behind,レシーブ成功(良),2,古賀,,,,,,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,,,,,,4,吉岡,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,,,,,,6,渡邊,,
1,2,-1,Behind,,,,,,,4,吉岡,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,,,,,アタック失敗,6,渡邊,,
2,2,0,Tie,,得点,,,,,,,,
2,2,0,Tie,サーブ,5,曽我,,,,,,,
2,2,0,Tie,,,,,,レシーブ成功(良),18,金田,,
2,2,0,Tie,,,,,,,4,吉岡,,
2,2,0,Tie,,2,古賀,,,,,,,
2,2,0,Tie,,,,,,アタック成功:,4,吉岡,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,28,川島,,
2,3,-1,Behind,レシーブ失敗,16,小島,,,,,,,
2,3,-1,Behind,その他ミス,1,島村,,,,,,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,28,川島,,
2,4,-2,Behind,レシーブ失敗,16,小島,,,,,,,
2,4,-2,Behind,,2,古賀,,,,,,,
2,4,-2,Behind,,,,,,,4,吉岡,,
2,4,-2,Behind,,1,島村,,,,,,,
2,4,-2,Behind,,,,,,アタック成功:,6,渡邊,,
2,5,-3,Behind,,,,,,,得点,,,
2,5,-3,Behind,,,,,,サーブ,28,川島,,
2,5,-3,Behind,レシーブ成功(優),2,古賀,,,,,,,
2,5,-3,Behind,アタック成功:,1,島村,,,,,,,
3,5,-2,Behind,,得点,,,,,,,,
3,5,-2,Behind,サーブ,2,古賀,,,,,,,
3,5,-2,Behind,,,,,,レシーブ成功(優),18,金田,,
3,5,-2,Behind,,,,,,,4,吉岡,,
3,5,-2,Behind,,1,島村,,,,,,,
3,5,-2,Behind,,,,,,アタック成功:,4,吉岡,,
3,6,-3,Behind,,,,,,,得点,,,
3,6,-3,Behind,,,,,,サーブ,6,渡邊,,
3,6,-3,Behind,レシーブ失敗,5,曽我,,,,,,,
3,6,-3,Behind,,,,,,,4,吉岡,,
3,6,-3,Behind,,9,廣瀬,,,,,,,
3,6,-3,Behind,,,,,,,4,吉岡,,
3,6,-3,Behind,アタック成功:,2,古賀,,,,,,,
4,6,-2,Behind,,得点,,,,,,,,
4,6,-2,Behind,サーブ,1,島村,,,,,,,
4,6,-2,Behind,,,,,,レシーブ成功(優),4,吉岡,,
4,6,-2,Behind,,2,古賀,,,,,,,
4,6,-2,Behind,アタック成功:,9,廣瀬,,,,,,,
5,6,-1,Behind,,得点,,,,,,,,
5,6,-1,Behind,サーブ,1,島村,,,,,,,
5,6,-1,Behind,,,,,,レシーブ失敗,4,吉岡,,
5,6,-1,Behind,,,,,,アタック成功:,4,吉岡,,
5,7,-2,Behind,,,,,,,得点,,,
5,7,-2,Behind,,,,,,サーブ,4,吉岡,,
5,7,-2,Behind,レシーブ成功(良),2,古賀,,,,,,,
5,7,-2,Behind,,9,廣瀬,,,,,,,
5,7,-2,Behind,,,,,,,18,金田,,
5,7,-2,Behind,,13,山田,,,,,,,
5,7,-2,Behind,,,,,,アタック成功:,18,金田,,
5,8,-3,Behind,,,,,,,得点,,,
5,8,-3,Behind,,,,,,,テクニカルタイムアウト,,,
5,8,-3,Behind,,,,,,サーブ,4,吉岡,,
5,8,-3,Behind,レシーブ成功(良),5,曽我,,,,,,,
5,8,-3,Behind,,13,山田,,,,,,,
5,8,-3,Behind,,,,,,アタック成功:,18,金田,,
5,9,-4,Behind,,,,,,,得点,,,
5,9,-4,Behind,,,,,,サーブ,4,吉岡,,
5,9,-4,Behind,レシーブ成功(良),5,曽我,,,,,,,
5,9,-4,Behind,アタック成功:,9,廣瀬,,,,,,,
6,9,-3,Behind,,得点,,,,,,,,
6,9,-3,Behind,サーブ,10,澤田,,,,,,,
6,9,-3,Behind,,,,,,レシーブ成功(優),4,吉岡,,
6,9,-3,Behind,,,,,,アタック成功:,18,金田,,
6,10,-4,Behind,,,,,,,得点,,,
6,10,-4,Behind,,,,,,サーブ,21,高野,,
6,10,-4,Behind,レシーブ失敗,5,曽我,,,,,,,
6,10,-4,Behind,,9,廣瀬,,,,,,,
6,10,-4,Behind,,,,,,アタック成功:,18,金田,,
6,11,-5,Behind,,,,,,,得点,,,
6,11,-5,Behind,,タイムアウト,,,,,,,,
6,11,-5,Behind,,,,,,サーブ,21,高野,,
6,11,-5,Behind,レシーブ成功(優),2,古賀,,,,,,,
6,11,-5,Behind,,13,山田,,,,,,,
6,11,-5,Behind,,,,,,アタック成功:,18,金田,,
6,12,-6,Behind,,,,,,,得点,,,
6,12,-6,Behind,,,,,,サーブ,21,高野,,
6,12,-6,Behind,レシーブ成功(優),5,曽我,,,,,,,
6,12,-6,Behind,アタック成功:,9,廣瀬,,,,,,,
7,12,-5,Behind,,得点,,,,,,,,
7,12,-5,Behind,サーブ,9,廣瀬,,,,,,,
7,12,-5,Behind,,,,,,レシーブ成功(優),4,吉岡,,
7,12,-5,Behind,,,,,,アタック成功:,18,金田,,
7,13,-6,Behind,,,,,,,得点,,,
7,13,-6,Behind,,,,,,サーブ,14,宮下(遥),,
7,13,-6,Behind,レシーブ成功(良),5,曽我,,,,,,,
7,13,-6,Behind,アタック成功:,5,曽我,,,,,,,
8,13,-5,Behind,,得点,,,,,,,,
8,13,-5,Behind,サーブ,13,山田,,,,,,,
8,13,-5,Behind,,,,,,レシーブ失敗,18,金田,,
8,13,-5,Behind,,,,,,アタック成功:,18,金田,,
8,14,-6,Behind,,,,,,,得点,,,
8,14,-6,Behind,,,,,,サーブ,18,金田,,
8,14,-6,Behind,レシーブ成功(優),2,古賀,,,,,,,
8,14,-6,Behind,アタック成功:,5,曽我,,,,,,,
9,14,-5,Behind,,得点,,,,,,,,
9,14,-5,Behind,メンバー交代:,IN:3,塚田,OUT:5,曽我,,,,,
9,14,-5,Behind,メンバー交代:,IN:12,山内,OUT:10,澤田,,,,,
9,14,-5,Behind,サービスエース,3,塚田,,,,,,,
9,14,-5,Behind,,,,,,レシーブ失敗,27,楢崎,,
10,14,-4,Behind,,得点,,,,,,,,
10,14,-4,Behind,サーブ,3,塚田,,,,,,,
10,14,-4,Behind,,,,,,レシーブ失敗,4,吉岡,,
10,14,-4,Behind,,12,山内,,,,,,,
10,14,-4,Behind,アタック成功:,2,古賀,,,,,,,
11,14,-3,Behind,,得点,,,,,,,,
11,14,-3,Behind,サーブ,3,塚田,,,,,,,
11,14,-3,Behind,,,,,,レシーブ成功(優),22,船田,,
11,14,-3,Behind,,,,,,,6,渡邊,,
11,14,-3,Behind,,2,古賀,,,,,,,
11,14,-3,Behind,,,,,,,6,渡邊,,
11,14,-3,Behind,アタック成功:,9,廣瀬,,,,,,,
12,14,-2,Behind,,得点,,,,,,,,
12,14,-2,Behind,,,,,,,タイムアウト,,,
12,14,-2,Behind,サーブ,3,塚田,,,,,,,
12,14,-2,Behind,,,,,,レシーブ失敗,22,船田,,
12,14,-2,Behind,,,,,,アタック成功:,4,吉岡,,
12,15,-3,Behind,,,,,,,得点,,,
12,15,-3,Behind,,,,,,サーブ,28,川島,,
12,15,-3,Behind,レシーブ失敗,16,小島,,,,,,,
12,15,-3,Behind,アタック成功:,2,古賀,,,,,,,
13,15,-2,Behind,,得点,,,,,,,,
13,15,-2,Behind,サーブ,2,古賀,,,,,,,
13,15,-2,Behind,,,,,,レシーブ失敗,4,吉岡,,
13,15,-2,Behind,,,,,,アタック成功:,6,渡邊,,
13,16,-3,Behind,,,,,,,得点,,,
13,16,-3,Behind,,,,,,,テクニカルタイムアウト,,,
13,16,-3,Behind,,,,,,サーブ,6,渡邊,,
13,16,-3,Behind,レシーブ成功(優),12,山内,,,,,,,
13,16,-3,Behind,,1,島村,,,,,,,
13,16,-3,Behind,,,,,,,4,吉岡,,
13,16,-3,Behind,,1,島村,,,,,,,
13,16,-3,Behind,,,,,,,4,吉岡,,
13,16,-3,Behind,,9,廣瀬,,,,,,,
13,16,-3,Behind,,,,,,ブロック成功,14,宮下(遥),,
13,17,-4,Behind,,,,,,,得点,,,
13,17,-4,Behind,,,,,,サーブ,6,渡邊,,
13,17,-4,Behind,レシーブ成功(優),2,古賀,,,,,,,
13,17,-4,Behind,アタック成功:,12,山内,,,,,,,
14,17,-3,Behind,,得点,,,,,,,,
14,17,-3,Behind,サービスエース,1,島村,,,,,,,
14,17,-3,Behind,,,,,,レシーブ失敗,18,金田,,
15,17,-2,Behind,,得点,,,,,,,,
15,17,-2,Behind,サーブ,1,島村,,,,,,,
15,17,-2,Behind,,,,,,レシーブ成功(優),18,金田,,
15,17,-2,Behind,,,,,,,4,吉岡,,
15,17,-2,Behind,アタック成功:,12,山内,,,,,,,
16,17,-1,Behind,,得点,,,,,,,,
16,17,-1,Behind,サーブ,1,島村,,,,,,,
16,17,-1,Behind,,,,,,レシーブ失敗,18,金田,,
16,17,-1,Behind,,,,,,,4,吉岡,,
16,17,-1,Behind,,9,廣瀬,,,,,,,
16,17,-1,Behind,,,,,,アタック成功:,14,宮下(遥),,
16,18,-2,Behind,,,,,,,得点,,,
16,18,-2,Behind,,,,,,サーブ,4,吉岡,,
16,18,-2,Behind,レシーブ失敗,12,山内,,,,,,,
16,18,-2,Behind,,9,廣瀬,,,,,,,
16,18,-2,Behind,,,,,,,18,金田,,
16,18,-2,Behind,ブロック成功,12,山内,,,,,,,
17,18,-1,Behind,,得点,,,,,,,,
17,18,-1,Behind,メンバー交代:,IN:5,曽我,OUT:3,塚田,,,,,
17,18,-1,Behind,メンバー交代:,IN:10,澤田,OUT:12,山内,,,,,
17,18,-1,Behind,サーブ,10,澤田,,,,,,,
17,18,-1,Behind,,,,,,レシーブ成功(優),4,吉岡,,
17,18,-1,Behind,,,,,,アタック成功:,21,高野,,
17,19,-2,Behind,,,,,,,得点,,,
17,19,-2,Behind,,,,,,サーブ,21,高野,,
17,19,-2,Behind,レシーブ成功(優),5,曽我,,,,,,,
17,19,-2,Behind,,5,曽我,,,,,,,
17,19,-2,Behind,,,,,,ブロック成功,14,宮下(遥),,
17,20,-3,Behind,,,,,,,得点,,,
17,20,-3,Behind,,タイムアウト,,,,,,,,
17,20,-3,Behind,,,,,,サーブ,21,高野,,
17,20,-3,Behind,レシーブ失敗,5,曽我,,,,,,,
17,20,-3,Behind,,,,,,ブロック成功,28,川島,,
17,21,-4,Behind,,,,,,,得点,,,
17,21,-4,Behind,,,,,,サーブ,21,高野,,
17,21,-4,Behind,レシーブ成功(優),2,古賀,,,,,,,
17,21,-4,Behind,アタック成功:,13,山田,,,,,,,
18,21,-3,Behind,,得点,,,,,,,,
18,21,-3,Behind,メンバー交代:,IN:4,柳田,OUT:9,廣瀬,,,,,
18,21,-3,Behind,サーブミス,4,柳田,,,,,,,
18,22,-4,Behind,,,,,,,得点,,,
18,22,-4,Behind,メンバー交代:,IN:9,廣瀬,OUT:4,柳田,,,,,
18,22,-4,Behind,,,,,,サーブ,14,宮下(遥),,
18,22,-4,Behind,レシーブ成功(優),5,曽我,,,,,,,
18,22,-4,Behind,アタック失敗,5,曽我,,,,,,,
18,23,-5,Behind,,,,,,,得点,,,
18,23,-5,Behind,,,,,,サーブ,14,宮下(遥),,
18,23,-5,Behind,レシーブ成功(良),16,小島,,,,,,,
18,23,-5,Behind,,5,曽我,,,,,,,
18,23,-5,Behind,,,,,,ブロック成功,18,金田,,
18,24,-6,Behind,,,,,,,得点,,,
18,24,-6,Behind,,,,,,サーブ,14,宮下(遥),,
18,24,-6,Behind,,,,,,メンバー交代:,IN:28,川島,OUT:14,宮下(遥)
18,24,-6,Behind,サーブ,12,山内,,,,,,,
18,24,-6,Behind,,,,,,レシーブ成功(優),4,吉岡,,
18,24,-6,Behind,,,,,,,12,居村,,
18,24,-6,Behind,,,,,,,28,川島,,
18,24,-6,Behind,,2,古賀,,,,,,,
18,24,-6,Behind,,,,,,,4,吉岡,,
