名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,トヨタ車体クインシーズ,23,96,900,456,21,50.7,48.3,1,0,0,44,275,6,25,86,28,20,0,506,0.0,4.75,0.46,7.7,71.4
エベリスベル,デンソーエアリービーズ,21,88,1203,438,103,36.4,27.8,275,125,29,40,305,14,40,117,1,0,0,492,45.5,4.98,0.45,10.9,0.0
エリザンジェラオリヴェイラ,久光製薬スプリングス,16,107,1070,391,76,36.5,29.4,391,139,38,37,384,37,41,120,2,2,0,465,35.5,3.65,0.35,14.8,100.0
ガライフェルナンダ,NECレッドロケッツ,12,98,1416,562,97,39.7,32.8,433,178,38,50,345,8,43,139,360,263,0,620,41.1,5.73,0.51,9.3,73.1
キムヨンギョン,JTマーヴェラス,10,77,849,425,75,50.1,41.2,151,65,20,29,254,17,26,77,437,314,0,471,43.0,5.52,0.38,11.7,71.9
スタエレンスシャイーヌ,パイオニアレッドウィングス,4,101,1210,513,86,42.4,35.3,189,74,20,35,292,7,36,90,495,323,0,555,39.2,5.08,0.35,7.0,65.3
リエスベットヴァインデヴォーゲル,東レアローズ,7,94,431,141,35,32.7,24.6,6,1,1,59,190,9,14,53,241,149,0,209,16.7,1.5,0.63,9.9,61.8
中道瞳,東レアローズ,4,92,20,9,1,45.0,40.0,1,0,0,4,314,6,14,74,2,0,0,19,0.0,0.1,0.04,6.7,0.0
丸山亜季,岡山シーガルズ,20,82,0,0,0,,,0,0,0,0,0,0,0,0,356,238,0,0,,0.0,0.0,,66.9
井上奈々朱,デンソーエアリービーズ,11,16,38,15,3,39.5,31.6,0,0,0,2,28,5,6,6,1,1,0,22,,0.94,0.12,17.9,100.0
井上琴絵,JTマーヴェラス,13,92,0,0,0,,,0,0,0,0,0,0,0,0,422,322,0,0,,0.0,0.0,,76.3
井上香織,デンソーエアリービーズ,8,97,451,190,16,42.1,38.6,1,0,0,66,263,7,23,92,13,8,0,263,0.0,1.96,0.68,9.2,61.5
井野亜季子,NECレッドロケッツ,10,98,0,0,0,,,0,0,0,0,0,0,0,0,547,436,0,0,,0.0,0.0,,79.7
今西郁瑠,トヨタ車体クインシーズ,2,25,67,23,5,34.3,26.9,1,1,0,5,59,2,7,14,87,60,0,30,100.0,0.92,0.2,6.4,69.0
今野加奈子,パイオニアレッドウィングス,8,76,951,320,48,33.6,28.6,187,51,19,12,304,10,19,91,23,11,0,342,27.3,4.21,0.16,9.2,47.8
位田愛,JTマーヴェラス,5,21,45,12,3,26.7,20.0,0,0,0,2,34,0,2,11,59,34,0,14,,0.57,0.1,6.6,57.6
佐々木みき,パイオニアレッドウィングス,0,29,77,20,3,26.0,22.1,10,2,0,2,39,2,2,8,44,23,0,24,20.0,0.69,0.07,9.0,52.3
先野久美子,久光製薬スプリングス,4,43,115,52,5,45.2,40.9,0,0,0,17,147,1,8,35,2,1,0,70,,1.21,0.4,5.3,50.0
八幡美樹,NECレッドロケッツ,8,37,170,51,9,30.0,24.7,10,0,2,6,90,5,5,23,83,49,0,62,0.0,1.38,0.16,10.6,59.0
八田奈都己,トヨタ車体クインシーズ,11,8,0,0,0,,,0,0,0,0,0,0,0,0,30,18,0,0,,0.0,0.0,,60.0
内田暁子,NECレッドロケッツ,4,91,753,246,40,32.7,27.4,101,18,10,7,328,13,32,80,549,327,0,266,17.8,2.7,0.08,7.6,59.6
内藤香菜子,NECレッドロケッツ,3,95,349,147,16,42.1,37.5,1,1,0,72,247,1,9,52,12,7,0,220,100.0,1.55,0.76,4.8,58.3
冨永こよみ,パイオニアレッドウィングス,24,101,120,61,8,50.8,44.2,1,0,0,41,372,8,24,117,7,0,0,110,0.0,0.6,0.41,8.4,0.0
前田見奈子,トヨタ車体クインシーズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤千尋,JTマーヴェラス,17,21,87,20,8,23.0,13.8,0,0,0,8,53,0,4,8,12,11,0,28,,0.95,0.38,1.9,91.7
北村みどり,岡山シーガルズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
千葉智枝美,JTマーヴェラス,19,21,0,0,0,,,0,0,0,0,32,0,7,5,0,0,0,0,,0.0,0.0,-1.6,
卜部里菜,岡山シーガルズ,22,55,159,59,6,37.1,33.3,1,0,1,4,138,1,6,37,254,140,0,64,0.0,1.07,0.07,6.3,55.1
古屋美紀,パイオニアレッドウィングス,28,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,久光製薬スプリングス,2,74,31,16,0,51.6,51.6,0,0,0,8,176,6,7,57,0,0,0,30,,0.22,0.11,10.5,
吉澤智恵,JTマーヴェラス,4,87,660,239,42,36.2,29.8,47,13,6,20,323,4,13,76,484,334,0,263,27.7,2.75,0.23,6.1,69.0
吉田みなみ,岡山シーガルズ,1,27,117,38,9,32.5,24.8,0,0,0,1,63,0,7,15,88,52,0,39,,1.41,0.04,3.2,59.1
吉田真未,パイオニアレッドウィングス,20,101,0,0,0,,,0,0,0,0,6,0,1,0,823,621,0,0,,0.0,0.0,-4.2,75.5
和田麻里江,東レアローズ,8,44,182,84,11,46.2,40.1,1,0,0,12,143,4,10,38,5,4,0,100,0.0,1.91,0.27,7.7,80.0
坂下麻衣子,JTマーヴェラス,1,58,199,65,14,32.7,25.6,84,31,10,9,67,2,5,17,0,0,0,76,36.9,1.12,0.16,7.5,
堀口夏実,岡山シーガルズ,6,10,1,0,0,0.0,0.0,1,0,0,0,9,0,0,0,6,2,0,0,0.0,0.0,0.0,0.0,33.3
堀崎智恵美,トヨタ車体クインシーズ,15,69,177,84,7,47.5,43.5,2,0,0,7,198,7,6,41,395,255,0,98,0.0,1.22,0.1,8.0,64.6
堀田理恵,岡山シーガルズ,55,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
多治見麻子,パイオニアレッドウィングス,5,50,198,66,11,33.3,27.8,0,0,0,25,171,4,14,31,21,14,0,95,,1.32,0.5,4.8,66.7
大村祥子,デンソーエアリービーズ,12,9,0,0,0,,,0,0,0,0,10,0,3,1,0,0,0,0,,0.0,0.0,-5.0,
奥田恭子,デンソーエアリービーズ,1,92,782,248,40,31.7,26.6,6,0,0,17,339,7,24,85,828,551,0,272,0.0,2.7,0.18,6.6,66.5
宮下遥,岡山シーガルズ,14,79,13,6,1,46.2,38.5,0,0,0,6,126,3,12,38,7,1,0,15,,0.08,0.08,7.5,14.3
宮田由佳里,東レアローズ,11,58,89,31,5,34.8,29.2,0,0,0,11,165,8,10,41,3,3,0,50,,0.53,0.19,9.5,100.0
小平花織,東レアローズ,12,28,1,0,0,0.0,0.0,0,0,0,0,40,2,3,6,6,6,0,2,,0.0,0.0,6.9,100.0
小林亜里沙,岡山シーガルズ,17,43,84,24,3,28.6,25.0,0,0,0,21,110,5,8,28,18,6,0,50,,0.56,0.49,9.1,33.3
山口舞,岡山シーガルズ,2,94,643,252,32,39.2,34.2,27,8,2,24,339,5,4,62,390,215,0,281,29.6,2.68,0.26,5.8,55.1
山本愛,JTマーヴェラス,3,91,407,195,16,47.9,44.0,0,0,0,47,247,10,28,65,34,27,0,252,,2.14,0.52,7.8,79.4
山本陽子,トヨタ車体クインシーズ,3,7,4,1,0,25.0,25.0,0,0,0,0,7,0,0,0,0,0,0,1,,0.14,0.0,0.0,
山田真里,トヨタ車体クインシーズ,21,44,84,19,8,22.6,13.1,2,1,0,10,154,9,10,52,418,282,0,38,50.0,0.43,0.23,12.7,67.5
岡野弘子,岡山シーガルズ,15,85,15,5,0,33.3,33.3,0,0,0,9,201,7,9,62,6,3,0,21,,0.06,0.11,10.1,50.0
岩坂名奈,久光製薬スプリングス,1,72,233,84,10,36.1,31.8,0,0,0,44,232,9,32,65,51,35,0,137,,1.17,0.61,7.4,68.6
峯村沙紀,東レアローズ,13,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
島村春世,NECレッドロケッツ,17,37,17,6,2,35.3,23.5,0,0,0,2,49,0,3,16,1,1,0,8,,0.16,0.05,6.6,100.0
川原麻実,JTマーヴェラス,15,44,285,95,25,33.3,24.6,60,17,6,6,111,2,7,22,4,3,0,103,28.3,2.16,0.14,5.2,75.0
川島亜依美,岡山シーガルズ,28,28,30,10,4,33.3,20.0,0,0,0,5,11,0,3,3,1,0,0,15,,0.36,0.18,0.0,0.0
川畑愛希,岡山シーガルズ,8,65,613,171,37,27.9,21.9,2,0,0,8,177,0,9,51,199,113,0,179,0.0,2.63,0.12,5.9,56.8
平井真栄,JTマーヴェラス,21,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
平井香菜子,久光製薬スプリングス,9,106,379,164,15,43.3,39.3,0,0,0,45,338,9,21,97,34,31,0,218,,1.55,0.42,8.3,91.2
平松美有紀,トヨタ車体クインシーズ,18,10,13,4,1,30.8,23.1,0,0,0,1,18,0,1,7,1,1,0,5,,0.4,0.1,8.3,100.0
座安琴希,久光製薬スプリングス,10,107,0,0,0,,,0,0,0,0,0,0,0,0,492,384,0,0,,0.0,0.0,,78.0
成田郁久美,パイオニアレッドウィングス,7,96,383,117,34,30.5,21.7,5,2,0,28,243,6,36,41,424,296,0,151,40.0,1.22,0.29,3.0,69.8
新鍋理沙,久光製薬スプリングス,12,101,997,389,63,39.0,32.7,69,20,13,21,238,3,33,47,542,409,0,413,29.0,3.85,0.21,2.7,75.5
服部梨花,パイオニアレッドウィングス,27,6,21,5,1,23.8,19.0,0,0,0,3,11,0,2,2,1,1,0,8,,0.83,0.5,0.0,100.0
服部鮎弥,トヨタ車体クインシーズ,16,20,116,30,5,25.9,21.6,0,0,0,3,46,0,1,16,141,92,0,33,,1.5,0.15,8.2,65.2
木村沙織,東レアローズ,5,100,1329,488,76,36.7,31.0,187,56,14,29,408,26,37,131,912,636,0,543,29.9,4.88,0.29,12.1,69.7
木村美里,東レアローズ,15,5,0,0,0,,,0,0,0,0,0,0,0,0,23,20,0,0,,0.0,0.0,,87.0
本田つばさ,デンソーエアリービーズ,15,5,0,0,0,,,0,0,0,0,5,0,2,1,0,0,0,0,,0.0,0.0,-5.0,
杉山祥子,NECレッドロケッツ,2,98,510,221,19,43.3,39.6,0,0,0,67,271,5,11,51,28,18,0,293,,2.26,0.68,5.5,64.3
杉本早希,パイオニアレッドウィングス,2,27,8,2,2,25.0,0.0,6,2,1,0,32,0,9,11,5,3,0,2,33.3,0.07,0.0,1.6,60.0
村田しおり,久光製薬スプリングス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村田奈都美,岡山シーガルズ,12,11,109,19,6,17.4,11.9,0,0,0,1,23,2,3,5,18,11,0,22,,1.73,0.09,10.9,61.1
東谷幸子,岡山シーガルズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松浦寛子,NECレッドロケッツ,9,97,522,180,44,34.5,26.1,0,0,0,23,368,11,27,103,368,219,0,214,,1.86,0.24,8.2,59.5
松浦麻琴,NECレッドロケッツ,5,86,21,9,1,42.9,38.1,1,0,0,14,301,12,15,64,3,0,0,35,0.0,0.1,0.16,8.1,0.0
板橋恵,パイオニアレッドウィングス,3,62,1,1,0,100.0,100.0,0,0,0,0,76,0,15,27,0,0,0,1,,0.02,0.0,3.9,
栄絵里香,デンソーエアリービーズ,18,2,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
栗原恵,パイオニアレッドウィングス,1,36,343,114,22,33.2,26.8,74,25,5,22,120,5,4,38,93,50,0,141,33.8,3.17,0.61,11.2,53.8
梶原雪路,トヨタ車体クインシーズ,22,90,0,0,0,,,0,0,0,0,0,0,0,0,452,323,0,0,,0.0,0.0,,71.5
森和代,岡山シーガルズ,21,92,560,217,25,38.8,34.3,5,0,0,57,236,1,12,57,177,98,0,275,0.0,2.36,0.62,5.2,55.4
櫻井由香,デンソーエアリービーズ,9,104,0,0,0,,,0,0,0,0,12,0,0,1,486,374,0,0,,0.0,0.0,2.1,77.0
水田祐未,久光製薬スプリングス,5,9,26,13,1,50.0,46.2,0,0,0,4,15,0,4,4,3,2,0,17,,1.44,0.44,0.0,66.7
河合由貴,JTマーヴェラス,18,5,3,2,0,66.7,66.7,0,0,0,1,16,2,0,1,0,0,0,5,,0.4,0.2,14.1,
河村聖子,トヨタ車体クインシーズ,6,5,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
沼田さくら,パイオニアレッドウィングス,21,64,161,55,13,34.2,26.1,0,0,0,23,162,0,9,32,21,12,0,78,,0.86,0.36,3.5,57.1
泉岡未来,デンソーエアリービーズ,13,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
浅津ゆうこ,久光製薬スプリングス,8,10,1,1,0,100.0,100.0,0,0,0,1,0,0,0,0,0,0,0,2,,0.1,0.1,,
渡邊絢子,NECレッドロケッツ,1,14,0,0,0,,,0,0,0,0,6,0,1,2,14,5,0,0,,0.0,0.0,4.2,35.7
滝口奈美,NECレッドロケッツ,15,60,2,0,1,0.0,-50.0,2,0,1,0,77,5,12,16,10,4,0,5,0.0,0.0,0.0,7.8,40.0
澁澤夏美,NECレッドロケッツ,6,34,16,2,0,12.5,12.5,2,0,0,2,4,0,0,2,2,0,0,4,0.0,0.06,0.06,12.5,0.0
濱口華菜里,東レアローズ,3,97,0,0,0,,,0,0,0,0,0,0,0,0,511,386,0,0,,0.0,0.0,,75.5
瀬尾有耶,岡山シーガルズ,29,40,0,0,0,,,0,0,0,0,32,1,2,7,68,46,0,1,,0.0,0.0,7.0,67.6
熊谷桜子,デンソーエアリービーズ,5,104,66,22,5,33.3,25.8,1,1,0,13,333,3,11,106,4,0,0,38,100.0,0.21,0.12,8.0,0.0
田代佳奈美,東レアローズ,14,84,22,10,1,45.5,40.9,0,0,0,5,71,2,6,18,2,0,0,17,,0.12,0.06,7.0,0.0
田原香理,トヨタ車体クインシーズ,5,88,330,133,20,40.3,34.2,0,0,0,32,223,2,11,38,11,8,0,167,,1.51,0.36,3.9,72.7
田村翔子,パイオニアレッドウィングス,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白垣里紗,NECレッドロケッツ,16,9,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
眞恵子,トヨタ車体クインシーズ,9,89,984,334,60,33.9,27.8,83,19,8,35,223,6,16,71,7,7,0,375,22.9,3.75,0.39,8.9,100.0
真柴咲紀,デンソーエアリービーズ,20,95,0,0,0,,,0,0,0,0,134,5,4,45,162,116,0,5,,0.0,0.0,11.4,71.6
矢野美子,デンソーエアリービーズ,2,104,398,201,12,50.5,47.5,1,1,0,34,335,5,21,86,12,10,0,240,100.0,1.93,0.33,6.3,83.3
石井優希,久光製薬スプリングス,15,38,244,84,18,34.4,27.0,18,6,3,2,86,5,3,25,164,105,0,91,33.3,2.21,0.05,12.2,64.0
石井里沙,デンソーエアリービーズ,16,63,22,5,3,22.7,9.1,0,0,0,2,7,0,0,3,12,6,0,7,,0.08,0.03,10.7,50.0
石川友紀,JTマーヴェラス,9,82,376,176,12,46.8,43.6,0,0,0,47,291,8,25,79,25,15,0,231,,2.15,0.57,7.4,60.0
石田瑞穂,久光製薬スプリングス,22,104,932,312,33,33.5,29.9,85,31,4,31,396,15,27,131,714,476,0,358,36.5,3.0,0.3,10.4,66.7
福田舞,岡山シーガルズ,5,85,783,272,38,34.7,29.9,21,6,3,19,234,7,23,61,145,87,0,298,28.6,3.2,0.22,7.1,60.0
秋山美幸,NECレッドロケッツ,7,67,9,2,0,22.2,22.2,0,0,0,5,110,4,5,27,0,0,0,11,,0.03,0.07,8.6,
竹下佳江,JTマーヴェラス,7,90,27,20,1,74.1,70.4,0,0,0,13,343,8,22,89,0,0,0,41,,0.22,0.14,7.2,
筒井さやか,久光製薬スプリングス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒井視穂子,久光製薬スプリングス,7,62,1,0,0,0.0,0.0,1,0,0,0,10,0,0,1,98,62,0,0,0.0,0.0,0.0,2.5,63.3
築地保奈美,東レアローズ,10,37,89,31,4,34.8,30.3,0,0,0,16,118,1,14,33,2,1,0,48,,0.84,0.43,4.9,50.0
米村信子,岡山シーガルズ,3,59,452,114,10,25.2,23.0,2,0,0,12,137,2,7,13,202,136,0,128,0.0,1.93,0.2,2.6,67.3
細田絵理,デンソーエアリービーズ,4,42,366,115,21,31.4,25.7,9,1,2,6,103,2,13,38,63,36,0,123,11.1,2.74,0.14,8.0,57.1
羽根翠,トヨタ車体クインシーズ,20,61,65,24,4,36.9,30.8,0,0,0,7,46,2,2,14,4,2,0,33,,0.39,0.11,10.9,50.0
船崎恵視,トヨタ車体クインシーズ,4,96,28,12,1,42.9,39.3,0,0,0,14,349,10,29,116,1,1,0,36,,0.12,0.15,9.1,100.0
芥川愛加,JTマーヴェラス,20,11,18,3,2,16.7,5.6,0,0,0,1,14,0,1,0,0,0,0,4,,0.27,0.09,-1.8,
芦野李沙,パイオニアレッドウィングス,19,57,0,0,0,,,0,0,0,0,11,0,2,1,82,45,0,0,,0.0,0.0,-2.3,54.9
若浦貴子,岡山シーガルズ,33,48,376,83,8,22.1,19.9,0,0,0,13,90,0,3,10,15,7,0,96,,1.73,0.27,1.9,46.7
荒木絵里香,東レアローズ,2,91,441,221,24,50.1,44.7,0,0,0,62,297,12,24,110,10,8,0,295,,2.43,0.68,11.3,80.0
藤原亜紀,トヨタ車体クインシーズ,14,18,133,42,12,31.6,22.6,6,1,2,4,38,2,1,4,1,1,0,48,16.7,2.33,0.22,7.2,100.0
藤田夏未,トヨタ車体クインシーズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西山慶樹,JTマーヴェラス,12,33,0,0,0,,,0,0,0,0,53,0,6,11,0,0,0,0,,0.0,0.0,2.4,
西脇万里子,東レアローズ,1,13,48,24,5,50.0,39.6,0,0,0,3,28,0,1,8,1,1,0,27,,1.85,0.23,6.2,100.0
谷口雅美,JTマーヴェラス,2,60,360,133,24,36.9,30.3,127,33,15,21,189,10,15,58,14,11,0,164,26.0,2.22,0.35,11.0,78.6
赤阪瑠美,トヨタ車体クインシーズ,8,90,50,14,4,28.0,20.0,7,3,1,0,140,11,16,40,0,0,0,25,42.9,0.16,0.0,12.1,
迫田さおり,東レアローズ,9,100,1167,444,59,38.0,33.0,275,123,19,40,364,9,23,94,3,2,0,493,44.7,4.44,0.4,7.3,66.7
都築有美子,トヨタ車体クインシーズ,1,89,728,233,27,32.0,28.3,15,2,2,46,340,13,23,117,390,276,0,292,13.3,2.62,0.52,10.7,70.8
野口彩佳,岡山シーガルズ,16,32,4,2,0,50.0,50.0,0,0,0,0,19,1,6,0,74,51,0,3,,0.06,0.0,-2.6,68.9
野本梨佳,久光製薬スプリングス,14,2,5,3,0,60.0,60.0,0,0,0,0,2,0,2,0,9,2,0,3,,1.5,0.0,-25.0,22.2
鈴木裕子,デンソーエアリービーズ,6,104,633,244,28,38.5,34.1,0,0,0,28,344,7,29,99,509,337,0,279,,2.35,0.27,7.1,66.2
長岡望悠,久光製薬スプリングス,13,55,108,48,6,44.4,38.9,10,3,2,6,23,1,1,2,25,16,0,55,30.0,0.87,0.11,5.4,64.0
雨堤みなみ,久光製薬スプリングス,11,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
香野晶子,パイオニアレッドウィングス,23,95,342,114,19,33.3,27.8,1,0,0,20,302,16,24,83,36,31,0,150,0.0,1.2,0.21,10.2,86.1
高木理江,JTマーヴェラス,8,43,247,82,18,33.2,25.9,5,0,0,5,132,4,4,28,265,191,0,91,0.0,1.91,0.12,7.6,72.1
高松未,岡山シーガルズ,13,11,17,3,2,17.6,5.9,0,0,0,1,10,0,0,3,25,12,0,4,,0.27,0.09,7.5,48.0
高橋美帆,パイオニアレッドウィングス,18,1,4,1,0,25.0,25.0,0,0,0,0,4,0,1,0,0,0,0,1,,1.0,0.0,-6.2,
高橋菜穂子,デンソーエアリービーズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高田ありさ,東レアローズ,6,95,153,64,7,41.8,37.3,1,0,0,7,207,4,18,49,193,124,0,75,0.0,0.67,0.07,5.7,64.2
鶴田桂子,久光製薬スプリングス,3,95,31,13,0,41.9,41.9,0,0,0,10,310,7,11,75,2,0,0,30,,0.14,0.11,7.4,0.0
