得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブ,1,貞包,,,,,,,
0,0,0,Tie,,,,,,レシーブ成功(優),12,山内,,
0,0,0,Tie,,,,,,,13,山田,,
0,0,0,Tie,,6,金杉,,,,,,,
0,0,0,Tie,,6,金杉,,,,,,,
0,0,0,Tie,,,,,,その他ミス,12,山内,,
0,0,0,Tie,,,,,,,チャレンジ失敗,,,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブ,1,貞包,,,,,,,
1,0,1,Lead,,,,,,レシーブ成功(優),2,古賀,,
1,0,1,Lead,,,,,,,12,山内,,
1,0,1,Lead,,,,,,,11,古谷,,
1,0,1,Lead,アタック成功:,6,金杉,,,,,,,
2,0,2,Lead,,得点,,,,,,,,
2,0,2,Lead,サービスエース,1,貞包,,,,,,,
2,0,2,Lead,,,,,,レシーブ失敗,2,古賀,,
3,0,3,Lead,,得点,,,,,,,,
3,0,3,Lead,サーブ,1,貞包,,,,,,,
3,0,3,Lead,,,,,,レシーブ成功(優),12,山内,,
3,0,3,Lead,,,,,,アタック成功:,13,山田,,
3,1,2,Lead,,,,,,,得点,,,
3,1,2,Lead,,,,,,サーブ,13,山田,,
3,1,2,Lead,レシーブ成功(優),13,田中,,,,,,,
3,1,2,Lead,アタック成功:,14,佐々木,,,,,,,
4,1,3,Lead,,得点,,,,,,,,
4,1,3,Lead,サーブ,14,佐々木,,,,,,,
4,1,3,Lead,,,,,,レシーブ失敗,2,古賀,,
4,1,3,Lead,,,,,,アタック失敗,11,古谷,,
5,1,4,Lead,,得点,,,,,,,,
5,1,4,Lead,サーブ,14,佐々木,,,,,,,
5,1,4,Lead,,,,,,レシーブ失敗,1,島村,,
5,1,4,Lead,,,,,,,11,古谷,,
5,1,4,Lead,,6,金杉,,,,,,,
5,1,4,Lead,,,,,,ブロック成功,1,島村,,
5,2,3,Lead,,,,,,,得点,,,
5,2,3,Lead,,,,,,サーブ,12,山内,,
5,2,3,Lead,レシーブ成功(優),1,貞包,,,,,,,
5,2,3,Lead,,13,田中,,,,,,,
5,2,3,Lead,,,,,,,12,山内,,
5,2,3,Lead,,6,金杉,,,,,,,
5,2,3,Lead,,,,,,,11,古谷,,
5,2,3,Lead,,,,,,,11,古谷,,
5,2,3,Lead,,1,貞包,,,,,,,
5,2,3,Lead,,6,金杉,,,,,,,
5,2,3,Lead,,,,,,アタック成功:,2,古賀,,
5,3,2,Lead,,,,,,,得点,,,
5,3,2,Lead,,,,,,サーブ,12,山内,,
5,3,2,Lead,レシーブ成功(良),1,貞包,,,,,,,
5,3,2,Lead,,6,金杉,,,,,,,
5,3,2,Lead,,,,,,アタック成功:,1,島村,,
5,4,1,Lead,,,,,,,得点,,,
5,4,1,Lead,,,,,,サーブ,12,山内,,
5,4,1,Lead,レシーブ成功(優),4,花井,,,,,,,
5,4,1,Lead,アタック成功:,13,田中,,,,,,,
6,4,2,Lead,,得点,,,,,,,,
6,4,2,Lead,サーブ,13,田中,,,,,,,
6,4,2,Lead,,,,,,レシーブ失敗,12,山内,,
6,4,2,Lead,,,,,,アタック成功:,11,古谷,,
6,5,1,Lead,,,,,,,得点,,,
6,5,1,Lead,,,,,,サーブ,11,古谷,,
6,5,1,Lead,レシーブ成功(優),4,花井,,,,,,,
6,5,1,Lead,アタック成功:,11,荒谷,,,,,,,
7,5,2,Lead,,得点,,,,,,,,
7,5,2,Lead,サーブ,6,金杉,,,,,,,
7,5,2,Lead,,,,,,レシーブ成功(優),12,山内,,
7,5,2,Lead,,,,,,アタック成功:,2,古賀,,
7,6,1,Lead,,,,,,,得点,,,
7,6,1,Lead,,,,,,サーブ,1,島村,,
7,6,1,Lead,レシーブ成功(良),6,金杉,,,,,,,
7,6,1,Lead,アタック失敗,11,荒谷,,,,,,,
7,7,0,Tie,,,,,,,得点,,,
7,7,0,Tie,,,,,,サーブ,1,島村,,
7,7,0,Tie,レシーブ成功(優),6,金杉,,,,,,,
7,7,0,Tie,,11,荒谷,,,,,,,
7,7,0,Tie,,11,荒谷,,,,,,,
7,7,0,Tie,,6,金杉,,,,,,,
7,7,0,Tie,,,,,,,2,古賀,,
7,7,0,Tie,アタック失敗,6,金杉,,,,,,,
7,8,-1,Behind,,,,,,,得点,,,
7,8,-1,Behind,,,,,,メンバー交代:,IN:6,上野,OUT:13,山田
7,8,-1,Behind,,,,,,サーブ,1,島村,,
7,8,-1,Behind,レシーブ成功(優),6,金杉,,,,,,,
7,8,-1,Behind,,11,荒谷,,,,,,,
7,8,-1,Behind,,,,,,,2,古賀,,
7,8,-1,Behind,,1,貞包,,,,,,,
7,8,-1,Behind,アタック成功:,11,荒谷,,,,,,,
8,8,0,Tie,,得点,,,,,,,,
8,8,0,Tie,サーブ,11,荒谷,,,,,,,
8,8,0,Tie,,,,,,レシーブ成功(良),12,山内,,
8,8,0,Tie,,,,,,,2,古賀,,
8,8,0,Tie,,,,,,,2,古賀,,
8,8,0,Tie,,1,貞包,,,,,,,
8,8,0,Tie,,,,,,アタック成功:,2,古賀,,
8,9,-1,Behind,,,,,,,得点,,,
8,9,-1,Behind,,,,,,サーブ,3,塚田,,
8,9,-1,Behind,レシーブ失敗,13,田中,,,,,,,
8,9,-1,Behind,アタック成功:,1,貞包,,,,,,,
9,9,0,Tie,,得点,,,,,,,,
9,9,0,Tie,サーブ,2,櫻井,,,,,,,
9,9,0,Tie,,,,,,レシーブ失敗,12,山内,,
9,9,0,Tie,,,,,,アタック失敗,12,山内,,
10,9,1,Lead,,得点,,,,,,,,
10,9,1,Lead,サーブ,2,櫻井,,,,,,,
10,9,1,Lead,,,,,,レシーブ成功(優),12,山内,,
10,9,1,Lead,,,,,,アタック成功:,6,上野,,
10,10,0,Tie,,,,,,,得点,,,
10,10,0,Tie,,,,,,サーブ,2,古賀,,
10,10,0,Tie,レシーブ成功(優),6,金杉,,,,,,,
10,10,0,Tie,アタック成功:,13,田中,,,,,,,
11,10,1,Lead,,得点,,,,,,,,
11,10,1,Lead,サーブ,1,貞包,,,,,,,
11,10,1,Lead,,,,,,レシーブ失敗,12,山内,,
11,10,1,Lead,,,,,,,6,上野,,
11,10,1,Lead,,,,,,,11,古谷,,
11,10,1,Lead,アタック成功:,6,金杉,,,,,,,
12,10,2,Lead,,得点,,,,,,,,
12,10,2,Lead,サーブミス,1,貞包,,,,,,,
12,11,1,Lead,,,,,,,得点,,,
12,11,1,Lead,,,,,,サーブ,6,上野,,
12,11,1,Lead,レシーブ成功(優),13,田中,,,,,,,
12,11,1,Lead,,13,田中,,,,,,,
12,11,1,Lead,アタック成功:,13,田中,,,,,,,
13,11,2,Lead,,得点,,,,,,,,
13,11,2,Lead,サーブ,14,佐々木,,,,,,,
13,11,2,Lead,,,,,,レシーブ成功(優),2,古賀,,
13,11,2,Lead,,,,,,アタック成功:,12,山内,,
13,12,1,Lead,,,,,,,得点,,,
13,12,1,Lead,,,,,,サーブ,12,山内,,
13,12,1,Lead,レシーブ失敗,1,貞包,,,,,,,
13,12,1,Lead,,13,田中,,,,,,,
13,12,1,Lead,,,,,,アタック成功:,12,山内,,
13,13,0,Tie,,,,,,,得点,,,
13,13,0,Tie,,,,,,サーブ,12,山内,,
13,13,0,Tie,レシーブ成功(優),1,貞包,,,,,,,
13,13,0,Tie,アタック成功:,13,田中,,,,,,,
14,13,1,Lead,,得点,,,,,,,,
14,13,1,Lead,サーブ,13,田中,,,,,,,
14,13,1,Lead,,,,,,レシーブ成功(優),12,山内,,
14,13,1,Lead,,,,,,アタック成功:,1,島村,,
14,14,0,Tie,,,,,,,得点,,,
14,14,0,Tie,,,,,,サーブ,11,古谷,,
14,14,0,Tie,レシーブ成功(優),4,花井,,,,,,,
14,14,0,Tie,アタック成功:,6,金杉,,,,,,,
15,14,1,Lead,,得点,,,,,,,,
15,14,1,Lead,サーブ,6,金杉,,,,,,,
15,14,1,Lead,,,,,,レシーブ成功(優),12,山内,,
15,14,1,Lead,,,,,,,2,古賀,,
15,14,1,Lead,アタック成功:,1,貞包,,,,,,,
16,14,2,Lead,,得点,,,,,,,,
16,14,2,Lead,,テクニカルタイムアウト,,,,,,,,
16,14,2,Lead,サーブ,6,金杉,,,,,,,
16,14,2,Lead,,,,,,レシーブ成功(優),12,山内,,
16,14,2,Lead,,,,,,アタック成功:,1,島村,,
16,15,1,Lead,,,,,,,得点,,,
16,15,1,Lead,,,,,,サーブ,1,島村,,
16,15,1,Lead,レシーブ成功(優),6,金杉,,,,,,,
16,15,1,Lead,アタック成功:,1,貞包,,,,,,,
17,15,2,Lead,,得点,,,,,,,,
17,15,2,Lead,サーブ,11,荒谷,,,,,,,
17,15,2,Lead,,,,,,レシーブ成功(優),2,古賀,,
17,15,2,Lead,,,,,,,11,古谷,,
17,15,2,Lead,,1,貞包,,,,,,,
17,15,2,Lead,,,,,,,2,古賀,,
17,15,2,Lead,,1,貞包,,,,,,,
17,15,2,Lead,,,,,,,6,上野,,
17,15,2,Lead,,6,金杉,,,,,,,
17,15,2,Lead,,,,,,,2,古賀,,
17,15,2,Lead,ブロック成功,14,佐々木,,,,,,,
18,15,3,Lead,,得点,,,,,,,,
18,15,3,Lead,,,,,,,タイムアウト,,,
18,15,3,Lead,サーブミス,11,荒谷,,,,,,,
18,16,2,Lead,,,,,,,得点,,,
18,16,2,Lead,,,,,,サーブ,3,塚田,,
18,16,2,Lead,レシーブ失敗,13,田中,,,,,,,
18,16,2,Lead,,,,,,アタック成功:,6,上野,,
18,17,1,Lead,,,,,,,得点,,,
18,17,1,Lead,,,,,,サーブ,3,塚田,,
18,17,1,Lead,レシーブ成功(優),13,田中,,,,,,,
18,17,1,Lead,アタック成功:,1,貞包,,,,,,,
19,17,2,Lead,,得点,,,,,,,,
19,17,2,Lead,サーブ,2,櫻井,,,,,,,
19,17,2,Lead,,,,,,レシーブ失敗,12,山内,,
19,17,2,Lead,,,,,,,12,山内,,
19,17,2,Lead,,1,貞包,,,,,,,
19,17,2,Lead,,,,,,,2,古賀,,
19,17,2,Lead,アタック成功:,1,貞包,,,,,,,
20,17,3,Lead,,得点,,,,,,,,
20,17,3,Lead,サーブ,2,櫻井,,,,,,,
20,17,3,Lead,,,,,,レシーブ成功(優),12,山内,,
20,17,3,Lead,,,,,,,12,山内,,
20,17,3,Lead,,1,貞包,,,,,,,
20,17,3,Lead,,,,,,ブロック成功,2,古賀,,
20,18,2,Lead,,,,,,,得点,,,
20,18,2,Lead,,,,,,サーブ,2,古賀,,
20,18,2,Lead,レシーブ成功(優),6,金杉,,,,,,,
20,18,2,Lead,,13,田中,,,,,,,
20,18,2,Lead,アタック失敗,13,田中,,,,,,,
20,19,1,Lead,,,,,,,得点,,,
20,19,1,Lead,,,,,,サーブ,2,古賀,,
20,19,1,Lead,レシーブ失敗,6,金杉,,,,,,,
20,19,1,Lead,,,,,,,12,山内,,
20,19,1,Lead,,,,,,アタック成功:,6,上野,,
20,20,0,Tie,,,,,,,得点,,,
20,20,0,Tie,メンバー交代:,IN:15,松本,OUT:6,金杉,,,,,
20,20,0,Tie,,,,,,サーブ,2,古賀,,
20,20,0,Tie,レシーブ成功(優),1,貞包,,,,,,,
20,20,0,Tie,,14,佐々木,,,,,,,
20,20,0,Tie,,,,,,アタック成功:,12,山内,,
20,21,-1,Behind,,,,,,,得点,,,
20,21,-1,Behind,,,,,,サーブ,2,古賀,,
20,21,-1,Behind,レシーブ成功(良),15,松本,,,,,,,
20,21,-1,Behind,アタック成功:,1,貞包,,,,,,,
21,21,0,Tie,,得点,,,,,,,,
21,21,0,Tie,メンバー交代:,IN:6,金杉,OUT:15,松本,,,,,
21,21,0,Tie,サーブ,1,貞包,,,,,,,
21,21,0,Tie,,,,,,レシーブ成功(優),2,古賀,,
21,21,0,Tie,,,,,,,12,山内,,
21,21,0,Tie,,6,金杉,,,,,,,
21,21,0,Tie,,,,,,,11,古谷,,
21,21,0,Tie,アタック成功:,6,金杉,,,,,,,
22,21,1,Lead,,得点,,,,,,,,
22,21,1,Lead,,,,,,,タイムアウト,,,
22,21,1,Lead,サーブ,1,貞包,,,,,,,
22,21,1,Lead,,,,,,レシーブ成功(優),12,山内,,
22,21,1,Lead,,,,,,,6,上野,,
22,21,1,Lead,,13,田中,,,,,,,
22,21,1,Lead,,,,,,,11,古谷,,
22,21,1,Lead,,6,金杉,,,,,,,
22,21,1,Lead,アタック成功:,6,金杉,,,,,,,
23,21,2,Lead,,得点,,,,,,,,
23,21,2,Lead,サーブ,1,貞包,,,,,,,
23,21,2,Lead,,,,,,レシーブ成功(優),2,古賀,,
23,21,2,Lead,,,,,,アタック成功:,11,古谷,,
23,22,1,Lead,,,,,,,得点,,,
23,22,1,Lead,,,,,,サーブ,6,上野,,
23,22,1,Lead,レシーブ失敗,13,田中,,,,,,,
23,22,1,Lead,,6,金杉,,,,,,,
23,22,1,Lead,,,,,,,11,古谷,,
23,22,1,Lead,,,,,,アタック成功:,1,島村,,
23,23,0,Tie,,,,,,,得点,,,
23,23,0,Tie,,,,,,サーブ,6,上野,,
23,23,0,Tie,レシーブ失敗,4,花井,,,,,,,
23,23,0,Tie,その他ミス,2,櫻井,,,,,,,
23,24,-1,Behind,,,,,,,得点,,,
23,24,-1,Behind,,タイムアウト,,,,,,,,
23,24,-1,Behind,,,,,,サーブ,6,上野,,
23,24,-1,Behind,レシーブ成功(良),4,花井,,,,,,,
23,24,-1,Behind,アタック成功:,13,田中,,,,,,,
24,24,0,Tie,,得点,,,,,,,,
24,24,0,Tie,サーブ,14,佐々木,,,,,,,
24,24,0,Tie,,,,,,レシーブ成功(優),2,古賀,,
24,24,0,Tie,,,,,,アタック成功:,12,山内,,
24,25,-1,Behind,,,,,,,得点,,,
24,25,-1,Behind,,,,,,サーブ,12,山内,,
24,25,-1,Behind,レシーブ成功(良),4,花井,,,,,,,
24,25,-1,Behind,アタック成功:,6,金杉,,,,,,,
25,25,0,Tie,,得点,,,,,,,,
25,25,0,Tie,メンバー交代:,IN:7,堀込,OUT:13,田中,,,,,
25,25,0,Tie,メンバー交代:,IN:12,孫田,OUT:2,櫻井,,,,,
25,25,0,Tie,サーブ,7,堀込,,,,,,,
25,25,0,Tie,,,,,,レシーブ成功(良),16,小島,,
25,25,0,Tie,,,,,,,11,古谷,,
25,25,0,Tie,,,,,,,11,古谷,,
25,25,0,Tie,,12,孫田,,,,,,,
25,25,0,Tie,,,,,,ブロック成功,3,塚田,,
25,26,-1,Behind,,,,,,,得点,,,
25,26,-1,Behind,,,,,,サーブ,11,古谷,,
25,26,-1,Behind,レシーブ成功(優),4,花井,,,,,,,
25,26,-1,Behind,アタック成功:,6,金杉,,,,,,,
26,26,0,Tie,,得点,,,,,,,,
26,26,0,Tie,サーブミス,6,金杉,,,,,,,
26,27,-1,Behind,,,,,,,得点,,,
26,27,-1,Behind,,,,,,メンバー交代:,IN:8,野嶋,OUT:1,島村
26,27,-1,Behind,,,,,,サーブ,8,野嶋,,
26,27,-1,Behind,レシーブ失敗,6,金杉,,,,,,,
26,27,-1,Behind,,1,貞包,,,,,,,
26,27,-1,Behind,,,,,,,2,古賀,,
26,27,-1,Behind,,1,貞包,,,,,,,
26,27,-1,Behind,アタック失敗,1,貞包,,,,,,,
26,27,-1,Behind,,チャレンジ失敗,,,,,,,,
26,28,-2,Behind,,,,,,,得点,,,
