名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,1,24,2,5,1,0,20.0,20.0,0,0,0,0,4,0,1,2,0,0,0,,0.5,0.0,6.2,
キサルムラートハン,ヴォレアス北海道,8,136,55,134,80,7,59.7,54.5,0,0,0,38,221,7,40,49,15,9,0,,1.45,0.69,4.2,60.0
三角尚久,長野GaRons,13,63,48,0,0,0,,,0,0,0,0,0,0,0,0,5,1,3,,0.0,0.0,,50.0
三角昌弘,東京ヴェルディ,10,28,7,0,0,0,,,0,0,0,0,7,0,0,0,0,0,0,,0.0,0.0,0.0,
上出哲也,ヴィアティン三重,21,120,21,75,34,6,45.3,37.3,0,0,0,2,52,1,1,9,5,4,1,,1.62,0.1,5.8,90.0
上坂将輝,トヨタ自動車サンホークス,18,127,61,35,15,3,42.9,34.3,4,0,1,23,226,3,10,47,2,0,0,0.0,0.25,0.38,5.4,0.0
中村有登,ヴィアティン三重,19,120,73,460,179,43,38.9,29.6,109,40,16,22,233,11,39,70,0,0,0,36.7,2.45,0.3,8.0,
中村航太朗,警視庁フォートファイターズ,13,133,66,491,202,41,41.1,32.8,96,32,15,21,294,15,44,67,471,230,114,33.3,3.06,0.32,7.1,60.9
中村龍哉,東京ヴェルディ,6,86,29,66,26,3,39.4,34.8,0,0,0,11,70,3,3,19,3,3,0,,0.9,0.38,10.0,100.0
中澤和也,警視庁フォートファイターズ,20,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道元貴,警視庁フォートファイターズ,14,133,75,443,171,45,38.6,28.4,34,6,6,22,243,13,45,87,423,194,103,17.6,2.28,0.29,9.7,58.0
中野将太,兵庫デルフィーノ,5,127,66,31,9,2,29.0,22.6,1,0,1,0,196,4,22,60,77,36,20,0.0,0.14,0.0,6.9,59.7
丸尾修一朗,埼玉アザレア,15,32,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸谷将大,富士通カワサキレッドスピリッツ,15,23,5,0,0,0,,,0,0,0,0,13,0,0,3,0,0,0,,0.0,0.0,5.8,
二五田大輔,大同特殊鋼レッドスター,10,122,71,585,259,45,44.3,36.6,86,36,12,12,271,3,21,48,513,220,146,41.9,3.65,0.17,3.6,57.1
井口拓也,ヴィアティン三重,2,22,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
今田善仁,きんでんトリニティーブリッツ,4,126,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
仲村鴻輝,兵庫デルフィーノ,13,125,34,25,7,1,28.0,24.0,0,0,0,3,33,1,0,11,1,1,0,,0.21,0.09,11.4,100.0
伊澤啓生,大同特殊鋼レッドスター,1,98,39,341,153,18,44.9,39.6,62,33,5,4,151,11,20,34,240,114,50,53.2,3.92,0.1,9.6,57.9
伊藤裕之介,警視庁フォートファイターズ,2,133,81,27,13,1,48.1,44.4,2,1,0,26,309,7,6,56,2,0,1,50.0,0.16,0.32,6.3,25.0
佐々木博秋,ヴォレアス北海道,13,140,65,396,155,31,39.1,31.3,84,35,8,34,241,16,30,49,381,191,105,41.7,2.38,0.52,8.6,63.9
佐藤匠,埼玉アザレア,5,144,57,152,68,12,44.7,36.8,0,0,0,34,166,8,13,34,9,4,3,,1.19,0.6,8.0,61.1
佐藤隼一,つくばユナイテッドSunGAIA,21,130,26,11,1,1,9.1,0.0,1,0,0,0,33,0,9,10,7,1,3,0.0,0.04,0.0,0.8,35.7
佐藤雄斗,東京ヴェルディ,9,62,19,0,0,0,,,0,0,0,0,0,0,0,0,75,24,27,,0.0,0.0,,50.0
備一真,大同特殊鋼レッドスター,12,33,29,0,0,0,,,0,0,0,0,0,0,0,0,136,91,31,,0.0,0.0,,78.3
内園徹,きんでんトリニティーブリッツ,9,104,58,0,0,0,,,0,0,0,0,110,7,16,28,41,14,11,,0.0,0.0,9.1,47.6
内海聡太,つくばユナイテッドSunGAIA,19,128,14,30,16,1,53.3,50.0,6,3,0,1,6,0,1,3,20,8,6,50.0,1.14,0.07,8.3,55.0
冷水亮,東京ヴェルディ,3,47,10,0,0,0,,,0,0,0,0,0,0,0,0,73,32,22,,0.0,0.0,,58.9
前川将太,ヴィアティン三重,11,120,59,435,197,37,45.3,36.8,58,23,4,15,137,5,42,31,135,64,33,39.7,3.34,0.25,1.6,59.6
前田将武,埼玉アザレア,18,146,69,10,7,0,70.0,70.0,0,0,0,1,120,7,12,40,7,0,3,,0.1,0.01,11.7,21.4
加藤伊織,ヴォレアス北海道,9,54,1,2,1,0,50.0,50.0,0,0,0,0,1,0,1,0,1,1,0,,1.0,0.0,-25.0,100.0
加藤克貴,埼玉アザレア,2,146,75,313,128,32,40.9,30.7,25,12,7,11,276,2,12,70,490,226,133,48.0,1.71,0.15,6.0,59.7
加藤啓,警視庁フォートファイターズ,4,133,51,133,65,12,48.9,39.8,0,0,0,33,147,2,13,32,2,1,1,,1.27,0.65,4.6,75.0
加藤大雄,富士通カワサキレッドスピリッツ,7,131,63,184,103,7,56.0,52.2,0,0,0,53,202,7,11,51,21,5,11,,1.63,0.84,8.4,50.0
加藤遼太,兵庫デルフィーノ,8,25,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
北崎文弥,東京ヴェルディ,7,119,27,76,35,6,46.1,38.2,1,0,1,9,71,1,6,9,6,2,1,0.0,1.3,0.33,2.5,41.7
北田陽季,ヴィアティン三重,23,120,56,378,153,41,40.5,29.6,109,34,21,14,148,5,32,27,3,1,0,31.2,2.73,0.25,2.5,33.3
古田史郎,ヴォレアス北海道,4,140,48,456,231,22,50.7,45.8,192,101,11,26,212,15,44,55,0,0,0,52.6,4.81,0.54,8.4,
古田彰紀,警視庁フォートファイターズ,21,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉岡衛,トヨタ自動車サンホークス,16,127,63,675,331,53,49.0,41.2,124,63,15,19,263,19,58,58,26,10,6,50.8,5.25,0.3,7.2,50.0
吉澤玄祐,警視庁フォートファイターズ,18,133,82,0,0,0,,,0,0,0,0,0,0,0,0,391,165,104,,0.0,0.0,,55.5
吉田綜眞,富士通カワサキレッドスピリッツ,5,2,2,4,4,0,100.0,100.0,1,1,0,0,3,0,0,0,0,0,0,100.0,2.0,0.0,0.0,
吉田魁成,大同特殊鋼レッドスター,3,36,19,53,31,4,58.5,50.9,0,0,0,6,50,1,7,8,3,0,0,,1.63,0.32,2.5,0.0
和治裕太,きんでんトリニティーブリッツ,17,131,82,362,185,29,51.1,43.1,2,1,0,44,270,18,65,66,7,2,2,50.0,2.26,0.54,6.8,42.9
國近公太,兵庫デルフィーノ,23,22,8,50,15,9,30.0,12.0,8,2,2,3,26,1,8,9,17,5,6,25.0,1.88,0.38,4.8,47.1
土井友登,つくばユナイテッドSunGAIA,12,86,45,1,0,0,0.0,0.0,0,0,0,1,106,5,6,24,1,0,0,,0.0,0.02,9.0,0.0
坂口舜,長野GaRons,10,131,53,40,14,6,35.0,20.0,0,0,0,8,91,5,4,17,3,0,0,,0.26,0.15,9.1,0.0
坂本凱,トヨタ自動車サンホークス,15,127,15,0,0,0,,,0,0,0,0,20,2,7,7,0,0,0,,0.0,0.0,10.0,
境龍生,大同特殊鋼レッドスター,13,27,10,52,28,3,53.8,48.1,5,2,1,5,32,0,1,10,47,18,14,40.0,2.8,0.5,7.0,53.2
増田純平,東京ヴェルディ,24,122,65,275,119,21,43.3,35.6,13,4,0,3,168,1,13,37,363,146,113,30.8,1.83,0.05,4.2,55.8
大下将,東京ヴェルディ,18,112,20,19,5,0,26.3,26.3,0,0,0,4,26,0,0,7,0,0,0,,0.25,0.2,6.7,
大浦坂健太,ヴィアティン三重,12,120,80,0,0,0,,,0,0,0,0,0,0,0,0,464,267,113,,0.0,0.0,,69.7
大賀惠介,きんでんトリニティーブリッツ,5,131,34,0,0,0,,,0,0,0,0,13,0,3,4,75,27,23,,0.0,0.0,1.9,51.3
大野隆一,警視庁フォートファイターズ,5,127,55,167,101,16,60.5,50.9,1,0,1,42,140,2,5,20,9,2,5,0.0,1.84,0.76,4.1,50.0
奈琳剣,東京ヴェルディ,19,117,27,116,51,15,44.0,31.0,22,7,7,6,45,2,10,12,1,0,1,31.8,1.89,0.22,5.6,50.0
奥村航,つくばユナイテッドSunGAIA,3,142,72,485,250,54,51.5,40.4,107,51,27,26,172,9,35,37,8,1,4,47.7,3.47,0.36,5.5,37.5
奥田晃,兵庫デルフィーノ,22,50,27,13,4,3,30.8,7.7,0,0,0,1,55,0,2,2,0,0,0,,0.15,0.04,0.0,
宮原博明,大同特殊鋼レッドスター,19,115,23,98,47,6,48.0,41.8,11,7,2,6,77,3,4,20,104,36,24,63.6,2.04,0.26,9.1,46.2
宮田航輔,東京ヴェルディ,4,100,63,0,0,0,,,0,0,0,0,2,0,0,0,339,149,110,,0.0,0.0,0.0,60.2
家近滉一,ヴォレアス北海道,5,132,30,139,79,11,56.8,48.9,19,10,2,7,117,8,26,23,153,57,52,52.6,2.63,0.23,6.2,54.2
寺尾壮太,大同特殊鋼レッドスター,18,122,43,298,119,29,39.9,30.2,90,32,14,16,145,6,21,34,2,1,0,35.6,2.77,0.37,6.4,50.0
小島大輝,埼玉アザレア,3,134,75,290,143,13,49.3,44.8,0,0,0,34,169,2,8,35,11,2,5,,1.91,0.45,5.2,40.9
小川貴大,警視庁フォートファイターズ,1,133,37,56,22,6,39.3,28.6,23,7,4,0,59,0,5,12,0,0,0,30.4,0.59,0.0,3.0,
小林慎平,富士通カワサキレッドスピリッツ,6,131,68,0,0,0,,,0,0,0,0,0,0,0,0,211,130,45,,0.0,0.0,,72.3
小林空,きんでんトリニティーブリッツ,21,130,77,857,389,84,45.4,35.6,269,137,34,26,273,11,52,86,0,0,0,50.9,5.05,0.34,7.1,
小針幸,つくばユナイテッドSunGAIA,9,142,73,384,177,30,46.1,38.3,34,10,7,17,269,12,46,67,425,171,112,29.4,2.42,0.23,6.4,53.4
尾木将,富士通カワサキレッドスピリッツ,19,131,13,0,0,0,,,0,0,0,0,0,0,0,0,10,3,4,,0.0,0.0,,50.0
尾松航洋,きんでんトリニティーブリッツ,2,131,67,1,0,1,0.0,-100.0,0,0,0,0,91,2,19,24,0,0,0,,0.0,0.0,3.6,
山下道生,東京ヴェルディ,14,122,69,189,81,14,42.9,35.4,1,0,0,43,227,13,29,50,12,8,1,0.0,1.17,0.62,8.0,70.8
山口功太郎,ヴォレアス北海道,2,140,16,3,2,0,66.7,66.7,1,0,0,0,10,0,0,1,0,0,0,0.0,0.12,0.0,2.5,
山本大地,東京ヴェルディ,15,12,17,11,3,0,27.3,27.3,0,0,0,0,22,2,2,6,50,16,19,,0.18,0.0,13.6,51.0
山本寛生,きんでんトリニティーブリッツ,16,119,33,101,35,14,34.7,20.8,9,0,2,4,78,5,7,18,30,6,16,0.0,1.06,0.12,9.9,46.7
山本翔耶,兵庫デルフィーノ,3,95,30,47,18,5,38.3,27.7,1,0,1,3,59,1,3,11,173,71,42,0.0,0.6,0.1,5.1,53.2
山田広大,長野GaRons,12,131,71,0,0,0,,,0,0,0,0,0,0,0,0,337,154,85,,0.0,0.0,,58.3
岡本侑,きんでんトリニティーブリッツ,1,108,47,248,90,31,36.3,23.8,46,15,9,14,170,4,11,42,313,126,102,32.6,1.91,0.3,6.9,56.5
岡村義郎,富士通カワサキレッドスピリッツ,10,119,57,183,111,10,60.7,55.2,0,0,0,40,123,1,13,24,6,3,1,,1.95,0.7,3.0,58.3
岡田翔太,兵庫デルフィーノ,20,44,27,187,76,13,40.6,33.7,31,13,1,3,100,4,20,27,143,50,47,41.9,2.81,0.11,5.8,51.4
岩本正吾,兵庫デルフィーノ,33,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
嶋田希隆,大同特殊鋼レッドスター,11,120,50,0,0,0,,,0,0,0,0,0,0,0,0,145,62,54,,0.0,0.0,,61.4
川口一貴,大同特殊鋼レッドスター,16,3,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
川崎翔太,埼玉アザレア,1,146,81,0,0,0,,,0,0,0,0,0,0,0,0,308,171,71,,0.0,0.0,,67.0
川畑貴裕,埼玉アザレア,10,146,29,137,45,9,32.8,26.3,4,2,0,6,93,0,11,25,66,21,20,50.0,1.55,0.21,3.8,47.0
工藤泰我,ヴォレアス北海道,24,8,4,12,6,0,50.0,50.0,1,0,0,1,5,1,3,1,9,2,4,0.0,1.5,0.25,10.0,44.4
平原隆也,警視庁フォートファイターズ,11,6,5,0,0,0,,,0,0,0,0,10,1,0,9,0,0,0,,0.0,0.0,32.5,
平田英貴,きんでんトリニティーブリッツ,13,131,27,63,28,7,44.4,33.3,0,0,0,7,52,1,7,19,9,6,3,,1.04,0.26,7.7,83.3
平野晃多,大同特殊鋼レッドスター,5,116,40,104,55,3,52.9,50.0,0,0,0,29,115,4,5,26,6,2,2,,1.38,0.72,8.0,50.0
庄司練,きんでんトリニティーブリッツ,6,15,37,141,67,10,47.5,40.4,0,0,0,6,65,1,2,17,3,2,1,,1.81,0.16,7.3,83.3
廣瀬優希,つくばユナイテッドSunGAIA,5,142,68,290,150,28,51.7,42.1,0,0,0,41,180,12,45,49,13,3,5,,2.21,0.6,7.2,42.3
張育陞,ヴォレアス北海道,14,136,30,231,135,20,58.4,49.8,100,58,10,13,101,5,28,41,1,0,0,58.0,4.5,0.43,8.2,0.0
後藤万澄,大同特殊鋼レッドスター,6,120,43,141,71,10,50.4,43.3,0,0,0,19,110,1,6,18,3,1,2,,1.65,0.44,3.6,66.7
後藤滉貴,富士通カワサキレッドスピリッツ,8,129,52,47,13,4,27.7,19.1,9,1,3,0,75,1,19,25,0,0,0,11.1,0.25,0.0,3.3,
志波京介,富士通カワサキレッドスピリッツ,20,131,44,1,1,0,100.0,100.0,0,0,0,2,90,2,3,15,0,0,0,,0.02,0.05,5.6,
戸田拓也,ヴォレアス北海道,20,140,47,186,85,22,45.7,33.9,19,8,2,13,170,14,48,42,258,132,65,42.1,1.81,0.28,7.4,63.8
手塚奨,富士通カワサキレッドスピリッツ,9,103,19,16,6,0,37.5,37.5,0,0,0,3,40,3,3,15,0,0,0,,0.32,0.16,15.0,
新谷俊揮,きんでんトリニティーブリッツ,12,131,71,250,104,25,41.6,31.6,10,4,0,17,227,14,35,47,573,234,157,40.0,1.46,0.24,7.5,54.5
曹海倫,つくばユナイテッドSunGAIA,8,142,56,168,88,7,52.4,48.2,0,0,0,14,186,7,19,49,15,6,3,,1.57,0.25,7.8,50.0
木村拓哉,大同特殊鋼レッドスター,20,122,38,290,117,25,40.3,31.7,107,41,15,9,135,5,23,32,1,1,0,38.3,3.08,0.24,5.4,100.0
本澤凌斗,ヴォレアス北海道,6,140,28,14,9,1,64.3,57.1,0,0,0,3,94,4,11,20,0,0,0,,0.32,0.11,6.6,
東野晴輝,トヨタ自動車サンホークス,7,1,4,0,0,0,,,0,0,0,0,10,0,1,1,0,0,0,,0.0,0.0,0.0,
松下大悟,トヨタ自動車サンホークス,13,126,46,376,171,52,45.5,31.6,88,28,19,9,146,7,47,36,388,196,91,31.8,3.72,0.2,2.9,62.2
松下祐太,長野GaRons,11,131,37,0,0,0,,,0,0,0,0,14,0,5,6,47,21,15,,0.0,0.0,1.8,60.6
松井孝介,兵庫デルフィーノ,18,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
松坂洸汰,富士通カワサキレッドスピリッツ,2,120,19,40,20,3,50.0,42.5,0,0,0,13,40,0,1,8,0,0,0,,1.05,0.68,4.4,
